,YYMMDDHHMI,STN,RN_HR1,RN_15M_MAX,RN_DAY
198,202208082100,415,75.5,31.0,186.5
199,202208082100,416,0.0,0.0,87.0
200,202208082100,417,91.5,33.0,206.5
201,202208082100,418,81.5,38.5,217.5
202,202208082100,419,27.0,19.0,118.5
203,202208082100,421,33.5,17.0,131.0
204,202208082100,423,89.0,34.0,242.0
205,202208082100,424,0.0,0.0,103.0
206,202208082100,425,-99.0,24.0,-99.0
207,202208082100,426,0.0,0.0,30.0
208,202208082100,427,0.0,0.0,82.0
209,202208082100,428,46.5,23.0,122.0
210,202208082100,429,-99.0,-99.0,-99.0
211,202208082100,430,4.5,4.5,59.0
212,202208082100,431,0.0,0.0,148.0
213,202208082100,432,0.5,0.5,38.0
214,202208082100,433,44.5,26.5,224.5
215,202208082100,434,7.0,5.5,65.5
216,202208082100,435,1.5,1.0,50.5
217,202208082100,436,3.0,2.0,54.5
218,202208082100,437,109.5,35.5,241.5
219,202208082100,438,3.5,1.5,67.0
220,202208082100,439,2.0,1.5,49.0
221,202208082100,440,2.0,1.5,44.5
222,202208082100,441,3.5,3.5,73.0
223,202208082100,442,3.5,1.5,99.5
224,202208082100,443,0.0,0.0,10.0
225,202208082100,444,53.5,19.5,120.0
226,202208082100,445,-99.0,-99.0,-99.0
227,202208082100,446,0.5,0.5,26.5
228,202208082100,447,2.5,1.5,45.5
229,202208082100,448,3.0,2.0,81.5
230,202208082100,449,8.5,5.5,106.0
231,202208082100,450,0.0,0.0,75.0
232,202208082100,451,-99.0,-99.0,-99.0
233,202208082100,452,0.0,0.0,111.5
234,202208082100,453,34.0,19.0,123.0
235,202208082100,454,0.0,0.0,82.5
236,202208082100,455,0.0,0.0,141.0
237,202208082100,456,0.0,0.0,143.5
238,202208082100,457,62.5,22.5,136.5
239,202208082100,458,16.0,6.5,117.5
240,202208082100,459,4.0,4.0,81.5
241,202208082100,460,-99.0,-99.0,-99.0
242,202208082100,461,3.5,3.5,47.0
243,202208082100,462,1.5,1.0,22.5
244,202208082100,463,1.0,1.5,37.0
245,202208082100,464,2.0,1.0,31.0
246,202208082100,465,1.5,1.0,25.5
247,202208082100,466,2.0,1.5,63.0
248,202208082100,467,0.0,0.0,13.5
249,202208082100,468,0.0,0.0,3.0
250,202208082100,469,1.0,0.5,16.5
251,202208082100,470,-99.0,-99.0,-99.0
252,202208082100,471,0.0,0.0,10.5
253,202208082100,472,0.0,0.0,3.5
254,202208082100,473,0.0,0.0,163.5
255,202208082100,474,6.5,9.0,136.5
256,202208082100,475,0.5,0.5,160.0
257,202208082100,476,0.0,0.0,109.5
258,202208082100,477,0.0,0.0,132.5
259,202208082100,478,0.0,0.0,98.5
260,202208082100,479,0.0,0.0,101.0
261,202208082100,480,0.0,0.0,96.5
262,202208082100,481,0.0,0.0,141.0
263,202208082100,482,0.0,0.0,152.0
264,202208082100,483,0.0,0.0,121.5
265,202208082100,484,-99.0,-99.0,-99.0
266,202208082100,485,1.0,1.0,65.5
267,202208082100,486,0.5,0.5,120.5
268,202208082100,487,0.0,0.0,54.5
269,202208082100,488,1.0,1.0,40.0
270,202208082100,489,0.0,0.0,40.0
271,202208082100,490,0.0,0.0,83.0
272,202208082100,491,0.0,0.0,130.5
273,202208082100,492,1.5,2.0,67.0
274,202208082100,493,0.0,0.0,5.5
275,202208082100,494,0.0,0.0,15.5
276,202208082100,495,0.0,0.0,6.5
277,202208082100,496,0.0,0.0,7.0
278,202208082100,497,2.0,1.0,13.5
279,202208082100,498,8.5,3.5,48.0
280,202208082100,499,0.0,0.0,183.0
281,202208082100,500,0.0,0.0,32.0
282,202208082100,501,0.0,0.0,27.0
283,202208082100,502,0.0,0.0,49.5
284,202208082100,503,0.0,0.0,129.0
285,202208082100,504,-99.0,-99.0,-99.0
286,202208082100,505,0.0,0.0,193.5
287,202208082100,506,0.0,0.0,131.0
288,202208082100,507,-99.0,-99.0,-99.0
289,202208082100,508,0.5,0.5,65.0
290,202208082100,509,63.0,24.5,147.0
291,202208082100,510,61.0,32.5,185.5
292,202208082100,511,0.0,0.0,86.0
293,202208082100,512,34.5,26.0,99.5
294,202208082100,513,1.0,0.5,45.5
295,202208082100,514,0.5,1.0,49.5
296,202208082100,515,0.0,0.5,26.5
297,202208082100,516,0.0,0.5,6.5
298,202208082100,517,4.0,3.0,16.0
299,202208082100,518,1.0,10.0,106.0
300,202208082100,519,6.0,5.0,143.0
301,202208082100,520,5.0,2.0,19.5
302,202208082100,521,4.5,2.0,17.5
303,202208082100,522,5.5,7.5,79.5
304,202208082100,523,4.5,1.5,21.5
305,202208082100,524,2.5,1.5,16.0
306,202208082100,525,4.5,1.5,26.5
307,202208082100,526,2.5,1.0,16.5
308,202208082100,527,1.0,0.5,7.5
309,202208082100,529,0.0,0.0,0.0
310,202208082100,530,0.0,0.0,0.0
311,202208082100,531,0.0,0.0,141.5
312,202208082100,532,0.0,0.0,144.0
313,202208082100,533,1.5,1.5,42.5
314,202208082100,534,1.0,1.0,22.5
315,202208082100,535,7.0,3.5,51.5
316,202208082100,536,5.5,2.0,29.0
317,202208082100,537,2.0,1.0,9.5
318,202208082100,538,0.0,0.0,182.5
319,202208082100,539,2.0,2.0,133.0
320,202208082100,540,0.0,0.0,87.5
321,202208082100,541,1.0,1.0,104.5
322,202208082100,542,0.0,0.0,79.0
323,202208082100,543,5.0,5.5,107.5
324,202208082100,544,-99.0,-99.0,-99.0
325,202208082100,545,5.5,4.5,50.0
326,202208082100,546,9.0,5.5,105.0
327,202208082100,547,5.5,2.5,42.5
328,202208082100,548,3.0,1.5,38.5
329,202208082100,549,7.0,5.5,58.0
330,202208082100,550,1.5,1.0,39.5
331,202208082100,551,0.0,0.0,5.5
332,202208082100,552,0.5,0.5,116.0
333,202208082100,553,1.5,1.5,19.5
334,202208082100,554,4.0,2.0,28.0
335,202208082100,555,1.5,2.0,126.0
336,202208082100,556,3.0,2.0,87.0
337,202208082100,557,9.0,4.5,48.0
338,202208082100,558,0.5,1.5,68.0
339,202208082100,559,10.5,4.0,51.5
340,202208082100,560,6.0,2.0,30.5
341,202208082100,561,7.0,2.5,38.0
342,202208082100,563,1.5,1.0,10.5
343,202208082100,565,7.5,7.5,54.5
344,202208082100,566,4.0,1.5,18.5
345,202208082100,567,0.0,0.0,103.5
346,202208082100,568,0.0,0.0,124.5
347,202208082100,569,18.0,12.0,99.5
348,202208082100,570,0.0,0.0,75.0
349,202208082100,571,0.0,1.0,50.5
350,202208082100,572,18.0,15.0,120.0
351,202208082100,573,1.5,2.5,57.5
352,202208082100,574,1.5,1.5,47.5
353,202208082100,575,-99.0,-99.0,-99.0
354,202208082100,576,0.5,0.5,27.5
355,202208082100,577,0.0,0.0,61.0
356,202208082100,578,0.0,0.0,8.5
357,202208082100,579,1.0,0.5,6.0
358,202208082100,580,1.0,0.5,4.0
359,202208082100,581,0.6,0.3,3.2
360,202208082100,582,3.0,1.0,22.0
361,202208082100,583,1.0,0.5,10.0
362,202208082100,585,4.5,5.5,76.5
363,202208082100,586,1.0,1.0,92.5
364,202208082100,587,2.5,1.5,93.5
365,202208082100,588,0.5,1.0,97.0
366,202208082100,589,0.0,0.0,137.5
367,202208082100,590,-99.0,4.5,-99.0
368,202208082100,591,4.5,1.5,32.5
369,202208082100,592,2.5,1.0,35.0
370,202208082100,593,6.0,2.5,26.5
371,202208082100,594,7.0,8.5,61.5
372,202208082100,595,7.9,4.0,43.2
373,202208082100,596,10.5,5.5,40.5
374,202208082100,597,4.0,1.5,22.5
375,202208082100,598,0.0,0.0,160.5
376,202208082100,599,0.0,0.0,145.5
